nm	n	k
655.298828	1.986327	0.021464
656.875488	1.985413	0.021501
658.452026	1.984501	0.021539
660	1.983606	0.021577
660.028503	1.983589	0.021577
661.60498	1.982679	0.021617
663.181335	1.981771	0.021658
664.75769	1.980864	0.021699
666.333923	1.979957	0.021741
667.910156	1.979052	0.021784
669.486267	1.978149	0.021828
670	1.977854	0.021843
671.062378	1.977246	0.021873
672.638306	1.976344	0.021919
674.214294	1.975443	0.021965
675.790161	1.974544	0.022012
677.365967	1.973645	0.022061
678.941772	1.972748	0.02211
680	1.972145	0.022143
680.517456	1.971851	0.022159
682.093018	1.970955	0.02221
683.668579	1.97006	0.022261
685.244019	1.969166	0.022314
686.819458	1.968273	0.022367
688.394775	1.96738	0.02242
689.970032	1.966488	0.022475
690	1.966471	0.022476
691.545227	1.965597	0.02253
693.1203	1.964707	0.022587
694.695374	1.963817	0.022644
696.270325	1.962928	0.022702
697.845215	1.96204	0.02276
699.420044	1.961152	0.02282
700	1.960826	0.022842
700.994751	1.960265	0.02288
702.569458	1.959379	0.022941
704.144043	1.958493	0.023002
705.718567	1.957607	0.023065
707.29303	1.956722	0.023128
708.86731	1.955838	0.023192
710	1.955202	0.023239
710.441589	1.954954	0.023257
712.015808	1.954071	0.023322
713.589966	1.953187	0.023389
715.16394	1.952305	0.023456
716.737915	1.951422	0.023524
718.311768	1.95054	0.023592
719.885559	1.949659	0.023662
720	1.949595	0.023667
721.45929	1.948777	0.023732
723.032837	1.947896	0.023803
724.606384	1.947016	0.023874
726.179871	1.946135	0.023947
727.753235	1.945255	0.02402
729.326477	1.944375	0.024094
730	1.943998	0.024125
730.899658	1.943495	0.024168
732.472778	1.942615	0.024244
734.045776	1.941736	0.02432
735.618713	1.940856	0.024396
737.191528	1.939977	0.024474
738.764282	1.939098	0.024552
740	1.938408	0.024614
740.336853	1.938219	0.024631
741.909424	1.93734	0.024711
743.481873	1.936462	0.024792
745.05426	1.935583	0.024873
746.626526	1.934704	0.024955
748.198669	1.933825	0.025038
749.770752	1.932947	0.025121
750	1.932819	0.025133
751.342712	1.932068	0.025205
752.914612	1.931189	0.02529
754.48645	1.93031	0.025376
756.058105	1.929431	0.025462
757.6297	1.928553	0.025549
759.201172	1.927673	0.025637
760	1.927227	0.025682
760.772583	1.926794	0.025726
762.343872	1.925915	0.025815
763.915039	1.925036	0.025905
765.486145	1.924156	0.025995
767.057068	1.923277	0.026087
768.627991	1.922397	0.026179
770	1.921628	0.02626
770.19873	1.921517	0.026272
771.769409	1.920636	0.026366
773.339966	1.919756	0.02646
774.910461	1.918875	0.026555
776.480835	1.917994	0.026651
778.051025	1.917113	0.026747
779.621216	1.916232	0.026844
780	1.916019	0.026868
781.191223	1.91535	0.026942
782.761108	1.914468	0.027041
784.330933	1.913586	0.02714
785.900635	1.912703	0.02724
787.470215	1.91182	0.027341
789.039673	1.910937	0.027443
790	1.910396	0.027505
790.60907	1.910053	0.027545
792.178345	1.909169	0.027648
793.747437	1.908285	0.027752
795.316467	1.9074	0.027856
796.885376	1.906515	0.027961
798.454224	1.90563	0.028067
800	1.904757	0.028172
800.022827	1.904744	0.028173
801.591431	1.903857	0.028281
803.159851	1.902971	0.028389
804.728149	1.902083	0.028497
806.296387	1.901196	0.028607
807.864441	1.900307	0.028717
809.432434	1.899419	0.028828
810	1.899097	0.028868
811.000305	1.89853	0.02894
812.567993	1.89764	0.029052
814.13562	1.89675	0.029165
815.703064	1.895859	0.029279
817.270447	1.894968	0.029393
818.837708	1.894076	0.029508
820	1.893414	0.029594
820.404785	1.893184	0.029624
821.971802	1.892291	0.029741
823.538696	1.891397	0.029858
825.105347	1.890504	0.029977
826.671997	1.889609	0.030095
828.238464	1.888714	0.030215
829.80481	1.887818	0.030335
830	1.887706	0.03035
831.370972	1.886922	0.030456
