eV	n	k
5.133	2.4	2.483
5.151	2.356	2.507
5.169	2.31	2.525
5.187	2.264	2.542
5.205	2.217	2.556
5.223	2.169	2.568
5.241	2.122	2.578
5.259	2.07	2.583
5.277	2.022	2.587
5.295	1.973	2.587
