nm	n	k
685.244019	2.881132	0.016857	
686.819458	2.879678	0.016627	
688.394775	2.878238	0.016400	
689.970032	2.876812	0.016178	
691.545227	2.875400	0.015960	
693.120300	2.874002	0.015745	
694.695374	2.872616	0.015535	
696.270325	2.871244	0.015328	
697.845215	2.869885	0.015125	
699.420044	2.868539	0.014926	
700.994751	2.867206	0.014730	
702.569458	2.865885	0.014538	
704.144043	2.864577	0.014349	
705.718567	2.863280	0.014164	
707.293030	2.861996	0.013981	
708.867310	2.860724	0.013802	
710.441589	2.859463	0.013626	
712.015808	2.858215	0.013454	
713.589966	2.856977	0.013284	
715.163940	2.855752	0.013117	
716.737915	2.854537	0.012953	
718.311768	2.853333	0.012791	
719.885559	2.852140	0.012633	
721.459290	2.850958	0.012477	
723.032837	2.849787	0.012324	
724.606384	2.848626	0.012173	
726.179871	2.847475	0.012025	
727.753235	2.846335	0.011879	
729.326477	2.845205	0.011736	
730.899658	2.844084	0.011595	
732.472778	2.842974	0.011457	
734.045776	2.841873	0.011320	
735.618713	2.840783	0.011186	
737.191528	2.839701	0.011055	
738.764282	2.838629	0.010925	
740.336853	2.837567	0.010797	
741.909424	2.836513	0.010672	
743.481873	2.835469	0.010548	
745.054260	2.834433	0.010427	
746.626526	2.833407	0.010307	
748.198669	2.832389	0.010190	
749.770752	2.831380	0.010074	
751.342712	2.830379	0.009960	
752.914612	2.829387	0.009848	
754.486450	2.828403	0.009737	
756.058105	2.827428	0.009629	
757.629700	2.826460	0.009522	
759.201172	2.825501	0.009416	
760.772583	2.824550	0.009313	
762.343872	2.823606	0.009210	
763.915039	2.822671	0.009110	
765.486145	2.821743	0.009011	
767.057068	2.820822	0.008913	
768.627991	2.819910	0.008817	
770.198730	2.819005	0.008723	
771.769409	2.818107	0.008630	
773.339966	2.817216	0.008538	
774.910461	2.816332	0.008448	
776.480835	2.815456	0.008359	
778.051025	2.814587	0.008271	
779.621216	2.813724	0.008184	
781.191223	2.812869	0.008099	
782.761108	2.812020	0.008015	
784.330933	2.811178	0.007933	
785.900635	2.810343	0.007851	
787.470215	2.809514	0.007771	
789.039673	2.808692	0.007692	
790.609070	2.807876	0.007614	
792.178345	2.807067	0.007537	
793.747437	2.806264	0.007461	
795.316467	2.805467	0.007387	
796.885376	2.804677	0.007313	
798.454224	2.803892	0.007241	
800.022827	2.803114	0.007169	
801.591431	2.802341	0.007099	
803.159851	2.801574	0.007029	
804.728149	2.800814	0.006960	
806.296387	2.800059	0.006893	
807.864441	2.799310	0.006826	
809.432434	2.798566	0.006761	
811.000305	2.797828	0.006696	
812.567993	2.797096	0.006632	
814.135620	2.796369	0.006569	
815.703064	2.795647	0.006507	
817.270447	2.794931	0.006445	
818.837708	2.794220	0.006385	
820.404785	2.793515	0.006325	
821.971802	2.792815	0.006266	
823.538696	2.792120	0.006208	
825.105347	2.791430	0.006151	
826.671997	2.790745	0.006094	
828.238464	2.790065	0.006038	
829.804810	2.789390	0.005983	
831.370972	2.788720	0.005929	
832.937134	2.788054	0.005875	
834.503052	2.787394	0.005822	
836.068970	2.786738	0.005770	
837.634583	2.786088	0.005719	
839.200195	2.785441	0.005668	
840.765625	2.784800	0.005618	
842.330872	2.784163	0.005568	
843.896118	2.783530	0.005519	
845.461121	2.782902	0.005471	
847.026001	2.782278	0.005423	
848.590698	2.781659	0.005376	
850.155396	2.781044	0.005330	
851.719849	2.780434	0.005284	
853.284180	2.779827	0.005238	
854.848450	2.779225	0.005194	
856.412476	2.778627	0.005149	
857.976440	2.778034	0.005106	
859.540222	2.777444	0.005063	
861.103821	2.776859	0.005020	
862.667358	2.776277	0.004978	
864.230774	2.775700	0.004937	
865.793945	2.775126	0.004896	
867.357056	2.774556	0.004855	
868.919922	2.773991	0.004815	
870.482727	2.773429	0.004776	
872.045410	2.772871	0.004737	
873.607910	2.772316	0.004698	
875.170227	2.771766	0.004660	
876.732422	2.771219	0.004622	
878.294556	2.770676	0.004585	
879.856445	2.770136	0.004549	
881.418152	2.769600	0.004512	
882.979797	2.769068	0.004476	
884.541199	2.768539	0.004441	
886.102539	2.768013	0.004406	
887.663696	2.767491	0.004371	
889.224731	2.766973	0.004337	
890.785522	2.766458	0.004303	
892.346313	2.765946	0.004270	
893.906860	2.765438	0.004237	
895.467163	2.764933	0.004204	
897.027466	2.764431	0.004172	
898.587524	2.763933	0.004140	
900.147461	2.763437	0.004109	
901.707153	2.762945	0.004077	
903.266785	2.762456	0.004047	
904.826294	2.761971	0.004016	
906.385559	2.761488	0.003986	
907.944641	2.761009	0.003956	
909.503601	2.760532	0.003927	
911.062378	2.760059	0.003898	
912.620972	2.759588	0.003869	
914.179504	2.759121	0.003841	
915.737793	2.758656	0.003813	
917.296021	2.758195	0.003785	
918.854004	2.757736	0.003757	
920.411804	2.757280	0.003730	
921.969421	2.756827	0.003703	
923.526978	2.756377	0.003676	
925.084290	2.755930	0.003650	
926.641418	2.755485	0.003624	
928.198425	2.755044	0.003598	
929.755188	2.754605	0.003573	
931.311890	2.754168	0.003548	
932.868347	2.753735	0.003523	
934.424622	2.753304	0.003498	
935.980774	2.752875	0.003474	
937.536743	2.752450	0.003450	
939.092590	2.752026	0.003426	
940.648132	2.751606	0.003402	
942.203613	2.751188	0.003379	
943.758911	2.750772	0.003356	
945.313965	2.750360	0.003333	
946.868835	2.749949	0.003310	
948.423645	2.749541	0.003288	
949.978210	2.749135	0.003266	
951.532593	2.748732	0.003244	
953.086792	2.748332	0.003222	
954.640808	2.747933	0.003200	
956.194641	2.747537	0.003179	
957.748352	2.747144	0.003158	
959.301880	2.746753	0.003137	
960.855164	2.746364	0.003117	
962.408325	2.745977	0.003096	
963.961243	2.745593	0.003076	
965.513977	2.745211	0.003056	
967.066528	2.744831	0.003036	
968.618958	2.744453	0.003017	
970.171082	2.744078	0.002997	
971.723145	2.743704	0.002978	
973.275024	2.743333	0.002959	
974.826660	2.742964	0.002940	
976.378113	2.742597	0.002922	
977.929382	2.742233	0.002903	
979.480469	2.741870	0.002885	
981.031372	2.741510	0.002867	
982.582031	2.741151	0.002849	
984.132507	2.740795	0.002831	
985.682922	2.740440	0.002814	
987.233032	2.740088	0.002797	
988.782898	2.739738	0.002779	
990.332703	2.739389	0.002762	
991.882202	2.739043	0.002745	
993.431519	2.738699	0.002729	
994.980774	2.738356	0.002712	
996.529663	2.738016	0.002696	
998.078430	2.737677	0.002680	
1012.665833	2.734576	0.002534	
1016.039734	2.733881	0.002502	
1019.414063	2.733195	0.002471	
1022.788940	2.732516	0.002440	
1026.164307	2.731844	0.002410	
1029.540161	2.731180	0.002381	
1032.916504	2.730524	0.002352	
1036.293335	2.729875	0.002323	
1039.670654	2.729234	0.002296	
1043.048462	2.728599	0.002268	
1046.426758	2.727972	0.002242	
1049.805542	2.727351	0.002215	
1053.184814	2.726737	0.002189	
1056.564697	2.726130	0.002164	
1059.944946	2.725530	0.002139	
1063.325684	2.724936	0.002115	
1066.706909	2.724348	0.002091	
1070.088623	2.723767	0.002068	
1073.470947	2.723192	0.002044	
1076.853638	2.722624	0.002022	
1080.236816	2.722061	0.002000	
1083.620483	2.721504	0.001978	
1087.004639	2.720953	0.001956	
1090.389404	2.720408	0.001935	
1093.774536	2.719869	0.001914	
1097.160156	2.719335	0.001894	
1100.546265	2.718807	0.001874	
1103.932861	2.718284	0.001854	
1107.320068	2.717767	0.001835	
1110.707642	2.717255	0.001816	
1114.095825	2.716748	0.001797	
1117.484375	2.716247	0.001779	
1120.873413	2.715750	0.001761	
1124.262939	2.715259	0.001743	
1127.653076	2.714772	0.001726	
1131.043701	2.714291	0.001709	
1134.434692	2.713814	0.001692	
1137.826172	2.713342	0.001675	
1141.218262	2.712874	0.001659	
1144.610718	2.712412	0.001643	
1148.003662	2.711954	0.001627	
1151.397217	2.711500	0.001611	
1154.791260	2.711051	0.001596	
1158.185791	2.710606	0.001581	
1161.580688	2.710165	0.001566	
1164.976074	2.709729	0.001552	
1168.372070	2.709297	0.001537	
1171.768433	2.708869	0.001523	
1175.165405	2.708446	0.001509	
1178.562744	2.708026	0.001496	
1181.960693	2.707610	0.001482	
1185.359131	2.707198	0.001469	
1188.757935	2.706791	0.001456	
1192.157349	2.706387	0.001443	
1195.557129	2.705986	0.001430	
1198.957520	2.705590	0.001418	
1202.358276	2.705197	0.001406	
1205.759644	2.704808	0.001393	
1209.161377	2.704422	0.001381	
1212.563721	2.704041	0.001370	
1215.966553	2.703662	0.001358	
1219.369873	2.703287	0.001347	
1222.773682	2.702915	0.001335	
1226.177856	2.702547	0.001324	
1229.582642	2.702183	0.001313	
1232.987793	2.701821	0.001303	
1236.393555	2.701463	0.001292	
1239.799683	2.701108	0.001282	
1243.206421	2.700756	0.001271	
1246.613525	2.700407	0.001261	
1250.021240	2.700062	0.001251	
1253.429443	2.699719	0.001241	
1256.838135	2.699380	0.001232	
1260.247314	2.699043	0.001222	
1263.656860	2.698710	0.001212	
1267.067017	2.698379	0.001203	
1270.477661	2.698051	0.001194	
1273.888672	2.697726	0.001185	
1277.300293	2.697404	0.001176	
1280.712280	2.697085	0.001167	
1284.124878	2.696769	0.001158	
1287.537964	2.696455	0.001150	
1290.951416	2.696144	0.001141	
1294.365479	2.695835	0.001133	
1297.780029	2.695529	0.001125	
1301.195068	2.695226	0.001116	
1304.610596	2.694926	0.001108	
1308.026489	2.694628	0.001100	
1311.442993	2.694332	0.001093	
1314.859863	2.694039	0.001085	
1318.277344	2.693748	0.001077	
1321.695313	2.693460	0.001070	
1325.113647	2.693174	0.001062	
1328.532593	2.692891	0.001055	
1331.951904	2.692610	0.001048	
1335.371826	2.692331	0.001040	
1338.792236	2.692054	0.001033	
1342.213135	2.691780	0.001026	
1345.634521	2.691508	0.001020	
1349.056274	2.691238	0.001013	
1352.478638	2.690971	0.001006	
1355.901367	2.690705	0.000999	
1359.324707	2.690442	0.000993	
1362.748413	2.690181	0.000986	
1366.172729	2.689922	0.000980	
1369.597412	2.689665	0.000974	
1373.022705	2.689410	0.000967	
1376.448486	2.689157	0.000961	
1379.874756	2.688906	0.000955	
1383.301392	2.688658	0.000949	
1386.728638	2.688411	0.000943	
1390.156250	2.688165	0.000937	
1393.584473	2.687922	0.000931	
1397.013062	2.687681	0.000926	
1400.442139	2.687442	0.000920	
1403.871826	2.687205	0.000914	
1407.302002	2.686969	0.000909	
1410.732666	2.686735	0.000903	
1414.163696	2.686503	0.000898	
1417.595215	2.686273	0.000893	
1421.027344	2.686045	0.000887	
1424.459839	2.685818	0.000882	
1427.892822	2.685594	0.000877	
1431.326416	2.685370	0.000872	
1434.760498	2.685149	0.000867	
1438.194946	2.684929	0.000862	
1441.630005	2.684711	0.000857	
1445.065430	2.684494	0.000852	
1448.501343	2.684280	0.000847	
1451.937744	2.684066	0.000842	
1455.374756	2.683855	0.000838	
1458.812256	2.683645	0.000833	
1462.250122	2.683436	0.000828	
1465.688477	2.683229	0.000824	
1469.127319	2.683024	0.000819	
1472.566650	2.682820	0.000815	
1476.006592	2.682617	0.000810	
1479.447021	2.682417	0.000806	
1482.887817	2.682217	0.000802	
1486.329102	2.682019	0.000798	
1489.770874	2.681823	0.000793	
1493.213135	2.681628	0.000789	
1496.656006	2.681434	0.000785	
1500.099243	2.681242	0.000781	
1503.542969	2.681051	0.000777	
1506.987183	2.680861	0.000773	
1510.431885	2.680673	0.000769	
1513.877075	2.680486	0.000765	
1517.322754	2.680301	0.000761	
1520.768921	2.680116	0.000757	
1524.215576	2.679934	0.000753	
1527.662842	2.679752	0.000750	
1531.110474	2.679572	0.000746	
1534.558472	2.679393	0.000742	
1538.007080	2.679215	0.000739	
1541.456299	2.679039	0.000735	
1544.905762	2.678863	0.000731	
1548.355835	2.678689	0.000728	
1551.806396	2.678516	0.000724	
1555.257446	2.678345	0.000721	
1558.708984	2.678174	0.000717	
1562.161011	2.678005	0.000714	
1565.613525	2.677837	0.000711	
1569.066528	2.677670	0.000707	
1572.519897	2.677504	0.000704	
1575.973877	2.677340	0.000701	
1579.428345	2.677176	0.000698	
1582.883179	2.677014	0.000694	
1586.338623	2.676852	0.000691	
1589.794556	2.676692	0.000688	
1593.250854	2.676533	0.000685	
1596.707764	2.676375	0.000682	
1600.165161	2.676218	0.000679	
1603.622925	2.676062	0.000676	
1607.081299	2.675908	0.000673	
1610.540161	2.675754	0.000670	
1613.999390	2.675601	0.000667	
1617.459229	2.675449	0.000664	
1620.919434	2.675298	0.000661	
1624.380127	2.675148	0.000658	
1627.841431	2.675000	0.000655	
1631.303101	2.674852	0.000653	
1634.765381	2.674705	0.000650	
1638.228027	2.674559	0.000647	
1641.691162	2.674414	0.000644	
1645.154907	2.674271	0.000642	
1648.618896	2.674128	0.000639	
1652.083618	2.673985	0.000636	
1655.548828	2.673844	0.000634	
1659.014282	2.673704	0.000631	
1662.480469	2.673565	0.000629	
1665.947021	2.673426	0.000626	
1669.414063	2.673289	0.000624	
1672.881592	2.673152	0.000621	
1676.349609	2.673016	0.000619	
1679.818115	2.672881	0.000616	
1683.287109	2.672747	0.000614	
1686.756592	2.672614	0.000611	
