wavelength	n	k
250	2.323	0.3236
255	2.316	0.3012
260	2.309	0.2799
265	2.301	0.2597
270	2.292	0.2405
275	2.284	0.2223
280	2.275	0.2051
285	2.265	0.1888
290	2.256	0.1734
295	2.246	0.1588
300	2.236	0.145
305	2.226	0.1321
310	2.216	0.1199
315	2.205	0.1084
320	2.195	9.76E-02
325	2.185	8.76E-02
330	2.174	7.82E-02
335	2.164	6.94E-02
340	2.153	6.13E-02
345	2.143	5.37E-02
350	2.132	4.68E-02
355	2.122	4.04E-02
360	2.112	3.46E-02
365	2.101	2.94E-02
370	2.091	2.46E-02
375	2.081	2.04E-02
380	2.071	1.67E-02
385	2.062	1.34E-02
390	2.052	1.06E-02
395	2.043	8.35E-03
400	2.034	6.51E-03
405	2.025	5.11E-03
410	2.016	4.15E-03
415	2.008	3.62E-03
420	2	3.50E-03
425	1.993	3.64E-03
430	1.986	3.78E-03
435	1.979	3.92E-03
440	1.973	4.07E-03
445	1.967	4.22E-03
450	1.961	4.38E-03
455	1.956	4.54E-03
460	1.95	4.71E-03
465	1.945	4.88E-03
470	1.94	5.05E-03
475	1.935	5.22E-03
480	1.93	5.40E-03
485	1.925	5.59E-03
490	1.92	5.77E-03
495	1.916	5.97E-03
500	1.911	6.17E-03
505	1.907	6.37E-03
510	1.902	6.57E-03
515	1.898	6.78E-03
520	1.893	7.00E-03
525	1.889	7.22E-03
530	1.885	7.44E-03
535	1.881	7.67E-03
540	1.876	7.91E-03
545	1.872	8.14E-03
550	1.868	8.39E-03
555	1.864	8.64E-03
560	1.86	8.89E-03
565	1.856	9.15E-03
570	1.852	9.42E-03
575	1.848	9.69E-03
580	1.844	9.96E-03
585	1.84	1.02E-02
590	1.836	1.05E-02
595	1.832	1.08E-02
600	1.828	1.11E-02
605	1.824	1.14E-02
610	1.82	1.17E-02
615	1.816	1.21E-02
620	1.812	1.24E-02
625	1.808	1.27E-02
630	1.804	1.30E-02
635	1.801	1.34E-02
640	1.797	1.37E-02
645	1.793	1.41E-02
650	1.789	1.44E-02
655	1.785	1.48E-02
660	1.781	1.52E-02
665	1.777	1.56E-02
670	1.773	1.60E-02
675	1.769	1.63E-02
680	1.765	1.68E-02
685	1.761	1.72E-02
690	1.757	1.76E-02
695	1.753	1.80E-02
700	1.749	1.84E-02
705	1.745	1.89E-02
710	1.741	1.93E-02
715	1.737	1.98E-02
720	1.733	2.02E-02
725	1.729	2.07E-02
730	1.724	2.12E-02
735	1.72	2.17E-02
740	1.716	2.22E-02
745	1.712	2.27E-02
750	1.708	2.32E-02
755	1.704	2.37E-02
760	1.699	2.43E-02
765	1.695	2.48E-02
770	1.691	2.53E-02
775	1.687	2.59E-02
780	1.682	2.65E-02
785	1.678	2.71E-02
790	1.674	2.76E-02
795	1.669	2.82E-02
800	1.665	2.88E-02
805	1.66	2.95E-02
810	1.656	3.01E-02
815	1.651	3.07E-02
820	1.647	3.14E-02
825	1.642	3.21E-02
830	1.638	3.27E-02
