wavelength	n	k
835	1.633	3.34E-02
840	1.628	3.41E-02
845	1.624	3.48E-02
850	1.619	3.55E-02
855	1.614	3.63E-02
860	1.61	3.70E-02
865	1.605	3.78E-02
870	1.6	3.85E-02
875	1.595	3.93E-02
880	1.59	4.01E-02
885	1.586	4.09E-02
890	1.581	4.18E-02
895	1.576	4.26E-02
900	1.571	4.34E-02
905	1.566	4.43E-02
910	1.561	4.52E-02
915	1.556	4.61E-02
920	1.55	4.70E-02
925	1.545	4.79E-02
930	1.54	4.88E-02
935	1.535	4.98E-02
940	1.53	5.08E-02
945	1.524	5.18E-02
950	1.519	5.28E-02
955	1.514	5.38E-02
960	1.508	5.48E-02
965	1.503	5.59E-02
970	1.497	5.70E-02
975	1.492	5.80E-02
980	1.486	5.92E-02
985	1.48	6.03E-02
990	1.475	6.14E-02
995	1.469	6.26E-02
1000	1.463	6.38E-02
1005	1.458	6.50E-02
1010	1.452	6.62E-02
1015	1.446	6.75E-02
1020	1.44	6.88E-02
1025	1.434	7.01E-02
1030	1.428	7.14E-02
1035	1.422	7.27E-02
1040	1.416	7.41E-02
1045	1.41	7.55E-02
1050	1.404	7.69E-02
1055	1.397	7.83E-02
1060	1.391	7.98E-02
1065	1.385	8.13E-02
1070	1.378	8.28E-02
1075	1.372	8.44E-02
1080	1.365	8.60E-02
1085	1.359	8.76E-02
1090	1.352	8.92E-02
1095	1.346	9.09E-02
1100	1.339	9.26E-02
1105	1.332	9.43E-02
1110	1.325	9.61E-02
1115	1.318	9.78E-02
1120	1.312	9.97E-02
1125	1.305	0.1015
1130	1.298	0.1034
1135	1.29	0.1054
1140	1.283	0.1074
1145	1.276	0.1094
1150	1.269	0.1114
1155	1.262	0.1135
1160	1.254	0.1157
1165	1.247	0.1179
1170	1.239	0.1201
1175	1.232	0.1224
1180	1.224	0.1247
1185	1.216	0.1271
1190	1.208	0.1295
1195	1.201	0.132
1200	1.193	0.1345
1205	1.185	0.1371
1210	1.177	0.1397
1215	1.168	0.1424
1220	1.16	0.1452
1225	1.152	0.148
1230	1.144	0.1509
1235	1.135	0.1539
1240	1.127	0.1569
1245	1.118	0.16
1250	1.109	0.1632
1255	1.101	0.1664
1260	1.092	0.1698
1265	1.083	0.1732
1270	1.074	0.1767
1275	1.065	0.1803
1280	1.056	0.184
1285	1.046	0.1877
1290	1.037	0.1916
1295	1.028	0.1956
1300	1.018	0.1997
1305	1.009	0.2039
1310	0.9991	0.2082
1315	0.9893	0.2126
1320	0.9795	0.2171
1325	0.9696	0.2218
1330	0.9596	0.2266
1335	0.9496	0.2316
1340	0.9394	0.2367
1345	0.9292	0.2419
1350	0.9189	0.2474
1355	0.9085	0.2529
1360	0.8981	0.2587
1365	0.8875	0.2646
1370	0.8769	0.2707
1375	0.8663	0.277
1380	0.8556	0.2835
1385	0.8448	0.2902
1390	0.8339	0.2971
1395	0.8231	0.3042
1400	0.8122	0.3116
1405	0.8012	0.3192
1410	0.7903	0.327
1415	0.7793	0.3351
1420	0.7683	0.3434
1425	0.7573	0.352
1430	0.7464	0.3609
1435	0.7355	0.3701
1440	0.7246	0.3795
1445	0.7138	0.3892
1450	0.7031	0.3991
1455	0.6925	0.4094
1460	0.682	0.4199
1465	0.6716	0.4307
1470	0.6614	0.4418
1475	0.6513	0.4532
1480	0.6414	0.4648
1485	0.6317	0.4766
1490	0.6222	0.4887
1495	0.6129	0.501
1500	0.6038	0.5136
1505	0.595	0.5263
1510	0.5865	0.5392
1515	0.5782	0.5523
1520	0.5702	0.5655
1525	0.5624	0.5789
1530	0.5549	0.5923
1535	0.5477	0.6059
1540	0.5408	0.6196
1545	0.5342	0.6333
1550	0.5278	0.647
1555	0.5217	0.6608
1560	0.5159	0.6747
1565	0.5103	0.6885
1570	0.5049	0.7023
1575	0.4998	0.7162
1580	0.495	0.73
1585	0.4903	0.7437
1590	0.4859	0.7575
1595	0.4817	0.7711
1600	0.4777	0.7848
1605	0.4739	0.7984
1610	0.4703	0.8119
1615	0.4668	0.8253
1620	0.4636	0.8387
1625	0.4605	0.8521
1630	0.4575	0.8653
1635	0.4547	0.8785
1640	0.4521	0.8916
1645	0.4496	0.9046
1650	0.4472	0.9175
1655	0.4449	0.9304
1660	0.4428	0.9432
1665	0.4408	0.9559
1670	0.4389	0.9685
1675	0.4371	0.9811
1680	0.4354	0.9935
1685	0.4338	1.006
1690	0.4323	1.018
1695	0.4308	1.03
1700	0.4295	1.043
1705	0.4283	1.055
1710	0.4271	1.067
1715	0.426	1.079
1720	0.4249	1.091
1725	0.424	1.102
1730	0.4231	1.114
1735	0.4223	1.126
1740	0.4215	1.137
1745	0.4208	1.149
1750	0.4201	1.16
1755	0.4195	1.172
1760	0.419	1.183
1765	0.4185	1.194
1770	0.418	1.205
1775	0.4176	1.217
1780	0.4173	1.228
1785	0.417	1.239
1790	0.4167	1.25
1795	0.4165	1.261
1800	0.4163	1.271
1805	0.4161	1.282
1810	0.416	1.293
1815	0.4159	1.304
1820	0.4159	1.314
1825	0.4159	1.325
1830	0.4159	1.335
1835	0.416	1.346
1840	0.416	1.356
1845	0.4162	1.367
1850	0.4163	1.377
1855	0.4165	1.387
1860	0.4167	1.398
1865	0.4169	1.408
1870	0.4172	1.418
1875	0.4174	1.428
1880	0.4177	1.438
1885	0.4181	1.448
1890	0.4184	1.458
1895	0.4188	1.468
1900	0.4192	1.478
1905	0.4196	1.488
1910	0.42	1.498
1915	0.4205	1.508
1920	0.421	1.517
1925	0.4215	1.527
1930	0.422	1.537
1935	0.4225	1.547
1940	0.4231	1.556
1945	0.4236	1.566
1950	0.4242	1.575
1955	0.4248	1.585
1960	0.4254	1.594
1965	0.4261	1.604
1970	0.4267	1.613
1975	0.4274	1.623
1980	0.4281	1.632
1985	0.4288	1.641
1990	0.4295	1.65
1995	0.4302	1.66
2000	0.4309	1.669
