wavelength	ITO	aSi_4nm	aSi_8nm	aSi_12nm	aSiC_12nm	aSiC_18nm
1360.00	0.66	0.77	0.71	0.79	0.88	0.72
1370.00	0.68	0.73	0.68	0.74	0.84	0.69
1380.00	0.71	0.69	0.66	0.70	0.79	0.67
1390.00	0.75	0.66	0.65	0.67	0.74	0.66
1400.00	0.79	0.66	0.66	0.66	0.70	0.67
1410.00	0.83	0.66	0.68	0.65	0.67	0.69
1420.00	0.86	0.67	0.72	0.66	0.66	0.72
1430.00	0.87	0.70	0.75	0.68	0.66	0.76
1440.00	0.87	0.73	0.80	0.72	0.67	0.80
1450.00	0.85	0.77	0.83	0.75	0.69	0.83
1460.00	0.83	0.81	0.86	0.79	0.72	0.86
1470.00	0.79	0.84	0.87	0.83	0.75	0.87
1480.00	0.75	0.87	0.87	0.86	0.79	0.87
1490.00	0.72	0.87	0.85	0.87	0.83	0.85
1500.00	0.70	0.86	0.82	0.87	0.85	0.82
